geometry
"POLYGON ((41.14146189399999 -8.636190437999986, 41.14146189399999 -8.635484139999985, 41.142168191999986 -8.635484139999985, 41.142168191999986 -8.636190437999986, 41.14146189399999 -8.636190437999986))"
"POLYGON ((41.14146189399999 -8.635484139999985, 41.14146189399999 -8.634777841999984, 41.142168191999986 -8.634777841999984, 41.142168191999986 -8.635484139999985, 41.14146189399999 -8.635484139999985))"
"POLYGON ((41.14146189399999 -8.634777841999984, 41.14146189399999 -8.634071543999983, 41.142168191999986 -8.634071543999983, 41.142168191999986 -8.634777841999984, 41.14146189399999 -8.634777841999984))"
"POLYGON ((41.14146189399999 -8.634071543999983, 41.14146189399999 -8.633365245999983, 41.142168191999986 -8.633365245999983, 41.142168191999986 -8.634071543999983, 41.14146189399999 -8.634071543999983))"
"POLYGON ((41.14146189399999 -8.633365245999983, 41.14146189399999 -8.632658947999982, 41.142168191999986 -8.632658947999982, 41.142168191999986 -8.633365245999983, 41.14146189399999 -8.633365245999983))"
"POLYGON ((41.14146189399999 -8.632658947999982, 41.14146189399999 -8.631952649999981, 41.142168191999986 -8.631952649999981, 41.142168191999986 -8.632658947999982, 41.14146189399999 -8.632658947999982))"
"POLYGON ((41.14146189399999 -8.631952649999981, 41.14146189399999 -8.63124635199998, 41.142168191999986 -8.63124635199998, 41.142168191999986 -8.631952649999981, 41.14146189399999 -8.631952649999981))"
"POLYGON ((41.14146189399999 -8.63124635199998, 41.14146189399999 -8.63054005399998, 41.142168191999986 -8.63054005399998, 41.142168191999986 -8.63124635199998, 41.14146189399999 -8.63124635199998))"
"POLYGON ((41.14146189399999 -8.63054005399998, 41.14146189399999 -8.629833755999979, 41.142168191999986 -8.629833755999979, 41.142168191999986 -8.63054005399998, 41.14146189399999 -8.63054005399998))"
"POLYGON ((41.14146189399999 -8.629833755999979, 41.14146189399999 -8.629127457999978, 41.142168191999986 -8.629127457999978, 41.142168191999986 -8.629833755999979, 41.14146189399999 -8.629833755999979))"
"POLYGON ((41.14146189399999 -8.629127457999978, 41.14146189399999 -8.628421159999977, 41.142168191999986 -8.628421159999977, 41.142168191999986 -8.629127457999978, 41.14146189399999 -8.629127457999978))"
"POLYGON ((41.14146189399999 -8.628421159999977, 41.14146189399999 -8.627714861999976, 41.142168191999986 -8.627714861999976, 41.142168191999986 -8.628421159999977, 41.14146189399999 -8.628421159999977))"
"POLYGON ((41.14146189399999 -8.627714861999976, 41.14146189399999 -8.627008563999976, 41.142168191999986 -8.627008563999976, 41.142168191999986 -8.627714861999976, 41.14146189399999 -8.627714861999976))"
"POLYGON ((41.14146189399999 -8.627008563999976, 41.14146189399999 -8.626302265999975, 41.142168191999986 -8.626302265999975, 41.142168191999986 -8.627008563999976, 41.14146189399999 -8.627008563999976))"
"POLYGON ((41.14146189399999 -8.626302265999975, 41.14146189399999 -8.625595967999974, 41.142168191999986 -8.625595967999974, 41.142168191999986 -8.626302265999975, 41.14146189399999 -8.626302265999975))"
"POLYGON ((41.14146189399999 -8.625595967999974, 41.14146189399999 -8.624889669999973, 41.142168191999986 -8.624889669999973, 41.142168191999986 -8.625595967999974, 41.14146189399999 -8.625595967999974))"
"POLYGON ((41.14146189399999 -8.624889669999973, 41.14146189399999 -8.624183371999973, 41.142168191999986 -8.624183371999973, 41.142168191999986 -8.624889669999973, 41.14146189399999 -8.624889669999973))"
"POLYGON ((41.14146189399999 -8.624183371999973, 41.14146189399999 -8.623477073999972, 41.142168191999986 -8.623477073999972, 41.142168191999986 -8.624183371999973, 41.14146189399999 -8.624183371999973))"
"POLYGON ((41.14146189399999 -8.623477073999972, 41.14146189399999 -8.622770775999971, 41.142168191999986 -8.622770775999971, 41.142168191999986 -8.623477073999972, 41.14146189399999 -8.623477073999972))"
"POLYGON ((41.14146189399999 -8.622770775999971, 41.14146189399999 -8.62206447799997, 41.142168191999986 -8.62206447799997, 41.142168191999986 -8.622770775999971, 41.14146189399999 -8.622770775999971))"
"POLYGON ((41.14146189399999 -8.62206447799997, 41.14146189399999 -8.62135817999997, 41.142168191999986 -8.62135817999997, 41.142168191999986 -8.62206447799997, 41.14146189399999 -8.62206447799997))"
"POLYGON ((41.14146189399999 -8.62135817999997, 41.14146189399999 -8.620651881999969, 41.142168191999986 -8.620651881999969, 41.142168191999986 -8.62135817999997, 41.14146189399999 -8.62135817999997))"
"POLYGON ((41.14146189399999 -8.620651881999969, 41.14146189399999 -8.619945583999968, 41.142168191999986 -8.619945583999968, 41.142168191999986 -8.620651881999969, 41.14146189399999 -8.620651881999969))"
"POLYGON ((41.14146189399999 -8.619945583999968, 41.14146189399999 -8.619239285999967, 41.142168191999986 -8.619239285999967, 41.142168191999986 -8.619945583999968, 41.14146189399999 -8.619945583999968))"
"POLYGON ((41.14146189399999 -8.619239285999967, 41.14146189399999 -8.618532987999966, 41.142168191999986 -8.618532987999966, 41.142168191999986 -8.619239285999967, 41.14146189399999 -8.619239285999967))"
"POLYGON ((41.14146189399999 -8.618532987999966, 41.14146189399999 -8.617826689999966, 41.142168191999986 -8.617826689999966, 41.142168191999986 -8.618532987999966, 41.14146189399999 -8.618532987999966))"
"POLYGON ((41.14146189399999 -8.617826689999966, 41.14146189399999 -8.617120391999965, 41.142168191999986 -8.617120391999965, 41.142168191999986 -8.617826689999966, 41.14146189399999 -8.617826689999966))"
"POLYGON ((41.14146189399999 -8.617120391999965, 41.14146189399999 -8.616414093999964, 41.142168191999986 -8.616414093999964, 41.142168191999986 -8.617120391999965, 41.14146189399999 -8.617120391999965))"
"POLYGON ((41.14146189399999 -8.616414093999964, 41.14146189399999 -8.615707795999963, 41.142168191999986 -8.615707795999963, 41.142168191999986 -8.616414093999964, 41.14146189399999 -8.616414093999964))"
"POLYGON ((41.14146189399999 -8.615707795999963, 41.14146189399999 -8.615001497999963, 41.142168191999986 -8.615001497999963, 41.142168191999986 -8.615707795999963, 41.14146189399999 -8.615707795999963))"
"POLYGON ((41.14146189399999 -8.615001497999963, 41.14146189399999 -8.614295199999962, 41.142168191999986 -8.614295199999962, 41.142168191999986 -8.615001497999963, 41.14146189399999 -8.615001497999963))"
"POLYGON ((41.14146189399999 -8.614295199999962, 41.14146189399999 -8.613588901999961, 41.142168191999986 -8.613588901999961, 41.142168191999986 -8.614295199999962, 41.14146189399999 -8.614295199999962))"
"POLYGON ((41.14146189399999 -8.613588901999961, 41.14146189399999 -8.61288260399996, 41.142168191999986 -8.61288260399996, 41.142168191999986 -8.613588901999961, 41.14146189399999 -8.613588901999961))"
"POLYGON ((41.14146189399999 -8.61288260399996, 41.14146189399999 -8.61217630599996, 41.142168191999986 -8.61217630599996, 41.142168191999986 -8.61288260399996, 41.14146189399999 -8.61288260399996))"
"POLYGON ((41.14146189399999 -8.61217630599996, 41.14146189399999 -8.611470007999959, 41.142168191999986 -8.611470007999959, 41.142168191999986 -8.61217630599996, 41.14146189399999 -8.61217630599996))"
"POLYGON ((41.14146189399999 -8.611470007999959, 41.14146189399999 -8.610763709999958, 41.142168191999986 -8.610763709999958, 41.142168191999986 -8.611470007999959, 41.14146189399999 -8.611470007999959))"
"POLYGON ((41.14146189399999 -8.610763709999958, 41.14146189399999 -8.610057411999957, 41.142168191999986 -8.610057411999957, 41.142168191999986 -8.610763709999958, 41.14146189399999 -8.610763709999958))"
"POLYGON ((41.14146189399999 -8.610057411999957, 41.14146189399999 -8.609351113999956, 41.142168191999986 -8.609351113999956, 41.142168191999986 -8.610057411999957, 41.14146189399999 -8.610057411999957))"
"POLYGON ((41.14146189399999 -8.609351113999956, 41.14146189399999 -8.608644815999956, 41.142168191999986 -8.608644815999956, 41.142168191999986 -8.609351113999956, 41.14146189399999 -8.609351113999956))"
"POLYGON ((41.14146189399999 -8.608644815999956, 41.14146189399999 -8.607938517999955, 41.142168191999986 -8.607938517999955, 41.142168191999986 -8.608644815999956, 41.14146189399999 -8.608644815999956))"
"POLYGON ((41.14146189399999 -8.607938517999955, 41.14146189399999 -8.607232219999954, 41.142168191999986 -8.607232219999954, 41.142168191999986 -8.607938517999955, 41.14146189399999 -8.607938517999955))"
"POLYGON ((41.14146189399999 -8.607232219999954, 41.14146189399999 -8.606525921999953, 41.142168191999986 -8.606525921999953, 41.142168191999986 -8.607232219999954, 41.14146189399999 -8.607232219999954))"
"POLYGON ((41.14146189399999 -8.606525921999953, 41.14146189399999 -8.605819623999952, 41.142168191999986 -8.605819623999952, 41.142168191999986 -8.606525921999953, 41.14146189399999 -8.606525921999953))"
"POLYGON ((41.14146189399999 -8.605819623999952, 41.14146189399999 -8.605113325999952, 41.142168191999986 -8.605113325999952, 41.142168191999986 -8.605819623999952, 41.14146189399999 -8.605819623999952))"
"POLYGON ((41.14146189399999 -8.605113325999952, 41.14146189399999 -8.604407027999951, 41.142168191999986 -8.604407027999951, 41.142168191999986 -8.605113325999952, 41.14146189399999 -8.605113325999952))"
"POLYGON ((41.14146189399999 -8.604407027999951, 41.14146189399999 -8.60370072999995, 41.142168191999986 -8.60370072999995, 41.142168191999986 -8.604407027999951, 41.14146189399999 -8.604407027999951))"
"POLYGON ((41.14146189399999 -8.60370072999995, 41.14146189399999 -8.60299443199995, 41.142168191999986 -8.60299443199995, 41.142168191999986 -8.60370072999995, 41.14146189399999 -8.60370072999995))"
"POLYGON ((41.14146189399999 -8.60299443199995, 41.14146189399999 -8.602288133999949, 41.142168191999986 -8.602288133999949, 41.142168191999986 -8.60299443199995, 41.14146189399999 -8.60299443199995))"
"POLYGON ((41.14146189399999 -8.602288133999949, 41.14146189399999 -8.601581835999948, 41.142168191999986 -8.601581835999948, 41.142168191999986 -8.602288133999949, 41.14146189399999 -8.602288133999949))"
"POLYGON ((41.14146189399999 -8.601581835999948, 41.14146189399999 -8.600875537999947, 41.142168191999986 -8.600875537999947, 41.142168191999986 -8.601581835999948, 41.14146189399999 -8.601581835999948))"
"POLYGON ((41.14146189399999 -8.600875537999947, 41.14146189399999 -8.600169239999946, 41.142168191999986 -8.600169239999946, 41.142168191999986 -8.600875537999947, 41.14146189399999 -8.600875537999947))"
"POLYGON ((41.14146189399999 -8.600169239999946, 41.14146189399999 -8.599462941999946, 41.142168191999986 -8.599462941999946, 41.142168191999986 -8.600169239999946, 41.14146189399999 -8.600169239999946))"
"POLYGON ((41.14146189399999 -8.599462941999946, 41.14146189399999 -8.598756643999945, 41.142168191999986 -8.598756643999945, 41.142168191999986 -8.599462941999946, 41.14146189399999 -8.599462941999946))"
"POLYGON ((41.14146189399999 -8.598756643999945, 41.14146189399999 -8.598050345999944, 41.142168191999986 -8.598050345999944, 41.142168191999986 -8.598756643999945, 41.14146189399999 -8.598756643999945))"
"POLYGON ((41.14146189399999 -8.598050345999944, 41.14146189399999 -8.597344047999943, 41.142168191999986 -8.597344047999943, 41.142168191999986 -8.598050345999944, 41.14146189399999 -8.598050345999944))"
"POLYGON ((41.14146189399999 -8.597344047999943, 41.14146189399999 -8.596637749999942, 41.142168191999986 -8.596637749999942, 41.142168191999986 -8.597344047999943, 41.14146189399999 -8.597344047999943))"
"POLYGON ((41.14146189399999 -8.596637749999942, 41.14146189399999 -8.595931451999942, 41.142168191999986 -8.595931451999942, 41.142168191999986 -8.596637749999942, 41.14146189399999 -8.596637749999942))"
"POLYGON ((41.14146189399999 -8.595931451999942, 41.14146189399999 -8.595225153999941, 41.142168191999986 -8.595225153999941, 41.142168191999986 -8.595931451999942, 41.14146189399999 -8.595931451999942))"
"POLYGON ((41.14146189399999 -8.595225153999941, 41.14146189399999 -8.59451885599994, 41.142168191999986 -8.59451885599994, 41.142168191999986 -8.595225153999941, 41.14146189399999 -8.595225153999941))"
"POLYGON ((41.14146189399999 -8.59451885599994, 41.14146189399999 -8.59381255799994, 41.142168191999986 -8.59381255799994, 41.142168191999986 -8.59451885599994, 41.14146189399999 -8.59451885599994))"
"POLYGON ((41.14146189399999 -8.59381255799994, 41.14146189399999 -8.593106259999939, 41.142168191999986 -8.593106259999939, 41.142168191999986 -8.59381255799994, 41.14146189399999 -8.59381255799994))"
"POLYGON ((41.14146189399999 -8.593106259999939, 41.14146189399999 -8.592399961999938, 41.142168191999986 -8.592399961999938, 41.142168191999986 -8.593106259999939, 41.14146189399999 -8.593106259999939))"
"POLYGON ((41.14146189399999 -8.592399961999938, 41.14146189399999 -8.591693663999937, 41.142168191999986 -8.591693663999937, 41.142168191999986 -8.592399961999938, 41.14146189399999 -8.592399961999938))"
"POLYGON ((41.14146189399999 -8.591693663999937, 41.14146189399999 -8.590987365999936, 41.142168191999986 -8.590987365999936, 41.142168191999986 -8.591693663999937, 41.14146189399999 -8.591693663999937))"
"POLYGON ((41.14146189399999 -8.590987365999936, 41.14146189399999 -8.590281067999936, 41.142168191999986 -8.590281067999936, 41.142168191999986 -8.590987365999936, 41.14146189399999 -8.590987365999936))"
"POLYGON ((41.14146189399999 -8.590281067999936, 41.14146189399999 -8.589574769999935, 41.142168191999986 -8.589574769999935, 41.142168191999986 -8.590281067999936, 41.14146189399999 -8.590281067999936))"
"POLYGON ((41.14146189399999 -8.589574769999935, 41.14146189399999 -8.588868471999934, 41.142168191999986 -8.588868471999934, 41.142168191999986 -8.589574769999935, 41.14146189399999 -8.589574769999935))"
"POLYGON ((41.14146189399999 -8.588868471999934, 41.14146189399999 -8.588162173999933, 41.142168191999986 -8.588162173999933, 41.142168191999986 -8.588868471999934, 41.14146189399999 -8.588868471999934))"
"POLYGON ((41.14146189399999 -8.588162173999933, 41.14146189399999 -8.587455875999932, 41.142168191999986 -8.587455875999932, 41.142168191999986 -8.588162173999933, 41.14146189399999 -8.588162173999933))"
"POLYGON ((41.14146189399999 -8.587455875999932, 41.14146189399999 -8.586749577999932, 41.142168191999986 -8.586749577999932, 41.142168191999986 -8.587455875999932, 41.14146189399999 -8.587455875999932))"
"POLYGON ((41.14146189399999 -8.586749577999932, 41.14146189399999 -8.586043279999931, 41.142168191999986 -8.586043279999931, 41.142168191999986 -8.586749577999932, 41.14146189399999 -8.586749577999932))"
"POLYGON ((41.14146189399999 -8.586043279999931, 41.14146189399999 -8.58533698199993, 41.142168191999986 -8.58533698199993, 41.142168191999986 -8.586043279999931, 41.14146189399999 -8.586043279999931))"
"POLYGON ((41.14146189399999 -8.58533698199993, 41.14146189399999 -8.58463068399993, 41.142168191999986 -8.58463068399993, 41.142168191999986 -8.58533698199993, 41.14146189399999 -8.58533698199993))"
"POLYGON ((41.14146189399999 -8.58463068399993, 41.14146189399999 -8.583924385999929, 41.142168191999986 -8.583924385999929, 41.142168191999986 -8.58463068399993, 41.14146189399999 -8.58463068399993))"
"POLYGON ((41.14146189399999 -8.583924385999929, 41.14146189399999 -8.583218087999928, 41.142168191999986 -8.583218087999928, 41.142168191999986 -8.583924385999929, 41.14146189399999 -8.583924385999929))"
"POLYGON ((41.14146189399999 -8.583218087999928, 41.14146189399999 -8.582511789999927, 41.142168191999986 -8.582511789999927, 41.142168191999986 -8.583218087999928, 41.14146189399999 -8.583218087999928))"
"POLYGON ((41.14146189399999 -8.582511789999927, 41.14146189399999 -8.581805491999926, 41.142168191999986 -8.581805491999926, 41.142168191999986 -8.582511789999927, 41.14146189399999 -8.582511789999927))"
"POLYGON ((41.14146189399999 -8.581805491999926, 41.14146189399999 -8.581099193999925, 41.142168191999986 -8.581099193999925, 41.142168191999986 -8.581805491999926, 41.14146189399999 -8.581805491999926))"
"POLYGON ((41.14146189399999 -8.581099193999925, 41.14146189399999 -8.580392895999925, 41.142168191999986 -8.580392895999925, 41.142168191999986 -8.581099193999925, 41.14146189399999 -8.581099193999925))"
"POLYGON ((41.14146189399999 -8.580392895999925, 41.14146189399999 -8.579686597999924, 41.142168191999986 -8.579686597999924, 41.142168191999986 -8.580392895999925, 41.14146189399999 -8.580392895999925))"
"POLYGON ((41.14146189399999 -8.579686597999924, 41.14146189399999 -8.578980299999923, 41.142168191999986 -8.578980299999923, 41.142168191999986 -8.579686597999924, 41.14146189399999 -8.579686597999924))"
